"nombre_barrio","cliente"
Versalles,"6.11743E+18"
Canaveralejo-Seguros Patria,"8.70484E+18"
El Sena,"4.68667E+18"
Versalles,-7.40608E+18
Primavera,"3.15687E+18"
Planta de Tratamiento,-1.73059E+18
Chapinero,-8.50168E+17
Urbanización Militar,-8.17027E+18
Área Libre-Parque del Amor,"3.47412E+18"
San Nicolás,"4.50886E+18"
Ciudad Córdoba,-7.60829E+18
Urbanización Ciudad Jardín,"2.68943E+18"
Unicentro Cali,-3.25911E+18
Urbanización Ciudad Jardín,"8.32063E+18"
Unicentro Cali,"1.54561E+18"
San Vicente,"1.31324E+18"
Santa Mónica Residencial,"2.46279E+18"
Los Guaduales,-1.99508E+18
Santander,"1.86288E+18"
Unicentro Cali,-1.81452E+17
Unicentro Cali,-2.60646E+18
Urbanización Militar,-9.15541E+18
Urbanización San Juaquín,-7.73464E+18
Quintas de Don Simón,"5.20615E+17"
Unicentro Cali,"5.93661E+18"
El Calvario,-5.55206E+18
El Jardín,"5.42955E+18"
El Troncal,-2.4117E+17
Urbanización San Juaquín,"3.36213E+18"
El Sena,-4.01962E+18
Urbanización Militar,"7.6825E+18"
Lili,-8.84711E+18
San Pedro,-7.43836E+18
Calima,"8.95454E+18"
Urbanización San Juaquín,-3.38717E+18
Parcelaciones Pance,"7.3677E+18"
La Merced,"7.86719E+18"
San Judas Tadeo II,"4.02233E+18"
Unidad Residencial Santiago de Cali,-6.41516E+18
Unidad Residencial Santiago de Cali,"2.78486E+18"
Planta de Tratamiento,"3.27472E+18"
San Vicente,-2.29502E+18
Santa Mónica Residencial,-9.1134E+18
San Vicente,"2.22331E+18"
San Vicente,-7.56132E+18
Acueducto San Antonio,-5.74292E+18
Santander,-5.8703E+18
Ciudadela Paso Ancho,-3.55358E+18
Urbanización Militar,-2.35469E+18
Bolivariano,-2.90817E+18
Belalcazar,"2.29124E+18"
El Sena,-6.41782E+18
Urbanización Militar,-1.37276E+18
Chapinero,"4.8827E+18"
